iter	Passed	Remaining
0	198	99074
1	385	96040
2	566	93773
3	762	94565
4	914	90518
5	1045	86088
6	1168	82268
7	1295	79701
8	1430	78053
9	1570	76969
10	1726	76761
11	1872	76146
12	2015	75513
13	2154	74786
14	2290	74048
15	2431	73563
16	2560	72754
17	2699	72283
18	2843	71984
19	2990	71768
20	3126	71312
21	3270	71056
22	3393	70381
23	3523	69887
24	3659	69529
25	3809	69449
26	3951	69227
27	4091	68979
28	4238	68834
29	4373	68513
30	4502	68114
31	4639	67852
32	4823	68264
33	4968	68101
34	5098	67732
35	5241	67557
36	5388	67427
37	5530	67236
38	5667	66988
39	5815	66873
40	5956	66678
41	6095	66472
42	6229	66205
43	6367	65990
44	6503	65754
45	6634	65475
46	6789	65439
47	6930	65261
48	7071	65087
49	7205	64848
50	7343	64652
51	7465	64316
52	7602	64116
53	7734	63883
54	7882	63778
55	8033	63696
56	8167	63478
57	8305	63290
58	8456	63206
59	8606	63112
60	8745	62936
61	8877	62714
62	9024	62596
63	9162	62416
64	9307	62289
65	9443	62095
66	9580	61913
67	9702	61637
68	9856	61569
69	10026	61590
70	10203	61652
71	10367	61628
72	10497	61400
73	10631	61203
74	10758	60966
75	10901	60817
76	11036	60627
77	11173	60449
78	11299	60217
79	11432	60019
80	11576	59881
81	11713	59711
82	11849	59534
83	11994	59400
84	12138	59265
85	12279	59113
86	12414	58932
87	12546	58742
88	12685	58583
89	12821	58408
90	12967	58280
91	13105	58118
92	13232	57911
93	13367	57738
94	13500	57555
95	13622	57328
96	13760	57169
97	13887	56968
98	14032	56839
99	14169	56676
100	14316	56555
101	14460	56423
102	14614	56329
103	14758	56195
104	14904	56070
105	15042	55913
106	15185	55772
107	15323	55616
108	15523	55685
109	15708	55693
110	15949	55896
111	16171	56024
112	16320	55893
113	16455	55717
114	16599	55572
115	16746	55436
116	16882	55263
117	17016	55088
118	17157	54934
119	17298	54777
120	17434	54608
121	17591	54504
122	17736	54362
123	17887	54238
124	18039	54117
125	18189	53991
126	18339	53863
127	18492	53743
128	18644	53621
129	18789	53476
130	18938	53344
131	19072	53170
132	19208	53002
133	19343	52833
134	19477	52660
135	19610	52488
136	19737	52296
137	19884	52160
138	20030	52021
139	20172	51873
140	20302	51692
141	20441	51535
142	20580	51379
143	20792	51403
144	20948	51286
145	21075	51100
146	21220	50958
147	21353	50786
148	21479	50600
149	21610	50423
150	21741	50249
151	21877	50087
152	22008	49915
153	22174	49820
154	22324	49690
155	22464	49536
156	22617	49413
157	22753	49250
158	22882	49075
159	23028	48935
160	23168	48783
161	23310	48635
162	23449	48481
163	23586	48323
164	23720	48159
165	23845	47978
166	23976	47810
167	24110	47647
168	24246	47489
169	24393	47352
170	24528	47193
171	24658	47024
172	24788	46854
173	24927	46703
174	25052	46526
175	25189	46371
176	25325	46214
177	25476	46087
178	25610	45926
179	25741	45763
180	25877	45607
181	26087	45581
182	26250	45472
183	26387	45317
184	26509	45138
185	26646	44983
186	26787	44836
187	26925	44684
188	27064	44534
189	27198	44376
190	27345	44239
191	27499	44114
192	27636	43960
193	27776	43812
194	27929	43683
195	28075	43545
196	28222	43407
197	28358	43253
198	28500	43108
199	28648	42973
200	28815	42865
201	28960	42723
202	29104	42580
203	29238	42424
204	29371	42266
205	29510	42116
206	29649	41967
207	29783	41812
208	29916	41653
209	30045	41490
210	30184	41342
211	30326	41197
212	30463	41046
213	30595	40888
214	30736	40743
215	30879	40601
216	31016	40449
217	31165	40315
218	31344	40218
219	31492	40081
220	31652	39960
221	31796	39817
222	31935	39668
223	32075	39521
224	32226	39387
225	32353	39224
226	32485	39068
227	32624	38920
228	32763	38772
229	32890	38610
